Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
56,OH2DMRA,434.53750,-,2,,88.5,88.5,023,NN,DMR, FM,25.00,,"Porvoo DMR",,,
57,OH2DMRE,434.51250,-,2,,88.5,88.5,023,NN,DMR,25.00,,"Espoo DMR",,,
58,OH2DMRH,434.57500,-,2,,88.5,88.5,023,NN,DMR,25.00,,"Helsinki DMR",,,
59,OH2DMRI,434.50000,-,2,,88.5,88.5,023,NN,DMR,25.00,,"Inkoo DMR",,,
60,OH2DMRN,434.56250,-,2,,88.5,88.5,023,NN,DMR,25.00,,"Nurmijärvi DMR",,,
61,OH2DMRP,434.53750,-,2,,88.5,88.5,023,NN,DMR,25.00,,"Pusula DMR",,,
62,OH2DMRR,434.55000,-,2,,88.5,88.5,023,NN,DMR, FM,25.00,,"Raasepori DMR",,,
63,OH2RAY,434.77500,-,1.6,,88.5,88.5,023,NN,FM,25.00,,"Artjärvi",,,
64,OH2RCH,434.62500,-,2,,88.5,88.5,023,NN,FM / P25,25.00,,"Espoo Juhanila",,,
65,OH2RUB,434.87500,-,2,,88.5,88.5,023,NN,FM,25.00,,"Porvoo",,,
66,OH2RUC,434.70000,-,2,Tone,118.8,118.8,023,NN,FM,25.00,,"Nurmijärvi",,,
67,OH2RUF,434.52500,-,2,,88.5,88.5,023,NN,DMR,25.00,,"Vantaa DMR",,,
68,OH2RUF,434.90000,-,2,Tone,118.8,118.8,023,NN,FM,25.00,,"Vantaa",,,
69,OH2RUL,434.72500,-,2,,88.5,88.5,023,NN,FM,25.00,,"Lohja",,,
70,OH3DMRA,434.55000,+,0,,88.5,88.5,023,NN,DMR,25.00,,"Lahti DMR",,,
71,OH3DMRB,434.50000,-,2,,88.5,88.5,023,NN,,25.00,,"Riihimäki DMR",,,
72,OH3RAA,434.58750,-,2,,88.5,88.5,023,NN,,25.00,,"Hämeenlinna DMR",,,
73,OH3RAA,434.97500,-,2,,88.5,88.5,023,NN,FM,25.00,,"Hämeenlinna",,,
74,OH3RAC,434.60000,-,2,Tone,123.0,123.0,023,NN,FM,25.00,,"Lahti",,,
75,OH3RNE,434.52500,-,2,,88.5,88.5,023,NN,DMR,25.00,,"Tampere Hervanta DMR",,,
76,OH3RNE,434.85000,-,2,Tone,123.0,123.0,023,NN,FM,25.00,,"Tampere City",,,
77,OH3RNE,434.55000,-,2,,88.5,88.5,023,NN,DMR,25.00,,"Tampere Tesoma DMR",,,
78,OH3RUD,434.80000,-,2,,88.5,88.5,023,NN,FM,25.00,,"Vesijako",,,
79,OH3RUX,434.90000,-,2,,88.5,88.5,023,NN,FM/DMR,25.00,,"Virrat FM/DMR",,,
80,OH4RUB,434.80000,-,2,,88.5,88.5,023,NN,FM, Digi,25.00,,"Pieksämäki DMR",,,
