Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
49,OH3RAR,145.725000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Hausjärvi Erkylä,,,,
50,OH3RNE,145.750000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,25.00,,50W,Tampere Wide Area,,,,
51,OH4RAB,145.675000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Pieksämäki,,,,
52,OH4RAC,145.750000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Mikkeli,,,,
53,OH4RAF,145.625000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Savonlinna,,,,
54,OH5RAB,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Lappeenranta / Muukko,,,,
55,OH5RAC,145.700000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Kouvola,,,,
56,OH5RUA,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Kotka,,,,
57,OH6RAC,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Lapua,,,,
58,OH6RAD,145.700000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Jyväskylä,,,,
59,OH6RAE,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Viitasaari,,,,
60,OH6RAG,145.625000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Jakobstad / Pietarsaari,,,,
61,OH6RAH,145.675000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Seinäjoki,,,,
62,OH6RAQ,145.600000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Jämsä Himos,,,,
63,OH6RAR,145.700000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Närpiö,,,,
64,OH6RAW,145.700000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Kokkola,,,,
65,OH6RUH,145.725000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,50W,Äänekoski,,,,
66,OH7RAA,145.600000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Kuopio,,,,
67,OH7RAE,145.675000,-,0.600000,Tone,118.8,118.8,023,NN,023,Tone->Tone,FM,25.00,,50W,Nurmes,,,,
68,OH7RAI,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Iisalmi,,,,
69,OH7RAJ,145.725000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Joensuu,,,,
70,OH7RAL,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Koli,,,,
71,OH8RAA,145.750000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Oulu,,,,
72,OH8RAU,145.675000,-,0.600000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,25.00,,50W,Ylivieska,,,,
73,OH9RAB,145.700000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Rovaniemi,,,,
74,OH9RAT,145.600000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Yllästunturi,,,,
75,OH1RUB,434.725000,-,1.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Pori,,,,
76,OH1RUG,434.800000,-,2.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Sastamala,,,,
77,OH1RUK,434.675000,-,2.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Rauma,,,,
78,OH1RUL,434.650000,-,1.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Kokemäki,,,,
79,OH1RUM,434.925000,-,2.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Koski TL,,,,
80,OH1RUN,434.825000,-,1.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Uusikaupunki,,,,
81,OH2RAY,434.775000,-,1.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Artjärvi,,,,
82,OH2RCH,434.625000,-,2.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Espoo Juhanila,,,,
83,OH2RUB,434.875000,-,2.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Porvoo,,,,
84,OH2RUC,434.700000,-,2.000000,Tone,118.8,118.8,023,NN,023,Tone->Tone,FM,25.00,,50W,Nurmijärvi,,,,
85,OH2RUF,434.900000,-,2.000000,Tone,118.8,118.8,023,NN,023,Tone->Tone,FM,25.00,,50W,Vantaa,,,,
86,OH2RUL,434.725000,-,2.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Lohja,,,,
87,OH3RAA,434.975000,-,2.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Hämeenlinna,,,,
88,OH3RAC,434.600000,-,2.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,25.00,,50W,Lahti,,,,
89,OH3RNE,434.850000,-,2.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,25.00,,50W,Tampere City,,,,
90,OH3RUD,434.800000,-,2.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Vesijako,,,,
91,OH4RUC,434.750000,-,2.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Mikkeli FM,,,,
92,OH5RUG,434.625000,-,2.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,25.00,,50W,Kouvola ,,,,
93,OH5RUM,434.925000,-,2.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Hamina,,,,
94,OH6RAH,434.675000,-,2.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Seinäjoki,,,,
95,OH6RUC,434.900000,-,2.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,25.00,,50W,Kaustinen,,,,
96,OH6RUG,434.700000,-,2.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,25.00,,50W,Jakobstad / Pietarsaari,,,,
97,OH6RUJ,434.650000,-,2.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,25.00,,50W,Jyväskylä Laajavuori,,,,
98,OH6RUP,434.925000,-,1.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Teuva,,,,
99,OH6RUQ,434.700000,-,2.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Jämsänkoski,,,,
100,OH6RUR,434.800000,-,1.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Närpiö,,,,
101,OH6RUT,434.875000,-,1.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Kauhajoki,,,,
102,OH6RUW,434.800000,-,2.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,25.00,,50W,Kokkola,,,,
103,OH7RUI,434.750000,-,1.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Iisalmi,,,,
104,OH8RUA,434.750000,-,2.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Oulu,,,,
105,OH8RUB,434.675000,-,2.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Kajaani,,,,
106,OH9RUB,434.700000,-,2.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Rovaniemi,,,,
107,OH9RUT,434.650000,-,1.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Yllästunturi,,,,
108,OI5RUC,434.825000,-,2.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,25.00,,50W,Kouvola Vekaranjärvi,,,,
