Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
55,OH3RUD,434.80000,-,2,Tone,88.5,88.5,023,NN,FM,25.00,,"Vesijako",,,
56,OH4RUC,434.75000,-,2,Tone,88.5,88.5,023,NN,FM,25.00,,"Mikkeli FM",,,
57,OH5RUG,434.62500,-,2,Tone,114.8,114.8,023,NN,FM,25.00,,"Kouvola ",,,
58,OH5RUM,434.92500,-,2,Tone,88.5,88.5,023,NN,FM,25.00,,"Hamina",,,
59,OH6RAH,434.67500,-,2,Tone,88.5,88.5,023,NN,FM,25.00,,"Seinäjoki",,,
60,OH6RUC,434.90000,-,2,Tone,110.9,110.9,023,NN,FM,25.00,,"Kaustinen",,,
61,OH6RUG,434.70000,-,2,Tone,110.9,110.9,023,NN,FM,25.00,,"Jakobstad / Pietarsaari",,,
62,OH6RUJ,434.65000,-,2,Tone,110.9,110.9,023,NN,FM,25.00,,"Jyväskylä Laajavuori",,,
63,OH6RUP,434.92500,-,1.6,Tone,88.5,88.5,023,NN,FM,25.00,,"Teuva",,,
64,OH6RUQ,434.70000,-,2,Tone,88.5,88.5,023,NN,FM,25.00,,"Jämsänkoski",,,
65,OH6RUR,434.80000,-,1.6,Tone,88.5,88.5,023,NN,FM,25.00,,"Närpiö",,,
66,OH6RUT,434.87500,-,1.6,Tone,88.5,88.5,023,NN,FM,25.00,,"Kauhajoki",,,
67,OH6RUW,434.80000,-,2,Tone,110.9,110.9,023,NN,FM,25.00,,"Kokkola",,,
68,OH7RUI,434.75000,-,1.6,Tone,88.5,88.5,023,NN,FM,25.00,,"Iisalmi",,,
69,OH8RUA,434.75000,-,2,Tone,88.5,88.5,023,NN,FM,25.00,,"Oulu",,,
70,OH8RUB,434.67500,-,2,Tone,88.5,88.5,023,NN,FM,25.00,,"Kajaani",,,
71,OH9RUB,434.70000,-,2,Tone,88.5,88.5,023,NN,FM,25.00,,"Rovaniemi",,,
72,OH9RUT,434.65000,-,1.6,Tone,88.5,88.5,023,NN,FM,25.00,,"Yllästunturi",,,
73,OI5RUC,434.82500,-,2,Tone,114.8,114.8,023,NN,FM,25.00,,"Kouvola Vekaranjärvi",,,
